"","Y","D","X","Z"
"1",4.69986,1,0.36122,-0.09945
"2",-0.13017,1,1.13518,-1.46538
"3",4.88741,1,-0.46713,-2.21925
"4",2.82709,1,0.33076,0.57311
"5",-0.15164,1,-0.9456,-0.15322
"6",-0.06433,0,1.33151,0.30285
"7",0.33661,0,0.20875,-0.51301
"8",-1.144,0,1.05731,0.41257
"9",1.02383,0,-1.44773,1.3269
"10",0.64262,0,0.6202,0.35023
"11",0.03906,0,0.75141,0.55027
"12",1.53326,0,-1.12945,-1.79088
"13",5.4658,1,-1.07509,-0.02471
"14",-2.6626,1,0.2816,0.14683
"15",6.0602,1,-0.1025,-0.41575
"16",-4.08181,1,0.99869,-0.15834
"17",3.29954,1,-0.53354,0.48744
"18",-0.93877,0,1.65198,0.47497
"19",8.45027,1,-2.40659,0.82619
"20",0.54384,0,-1.857,-0.07752
"21",4.98807,1,0.74147,0.73535
"22",3.11411,1,-1.74303,-0.89703
"23",0.84276,0,-0.17201,0.54189
"24",1.64618,0,0.98492,-0.24802
"25",-0.46313,0,0.79621,-1.9387
"26",-4.20478,1,1.63144,-0.02277
"27",-0.72658,0,-1.10102,0.68592
"28",5.82191,1,-1.98863,0.81616
"29",0.87507,0,1.03528,-0.93208
"30",0.77599,0,-0.85056,-0.08372
"31",0.43948,0,0.53289,-0.31308
"32",0.86921,0,1.16324,0.03048
"33",1.53528,0,1.08962,-0.90189
"34",3.07673,1,-0.63986,-0.17519
"35",-0.48592,0,-0.01935,0.81814
"36",-0.53585,0,0.12932,-0.34869
"37",-1.75671,1,-0.20977,0.44352
"38",-0.8335,0,0.41669,1.59454
"39",0.34267,0,0.14541,0.07499
"40",0.27508,0,-0.09239,-1.31679
"41",4.5889,1,1.72032,0.05584
"42",-2.61195,0,-0.36722,-0.26105
"43",-0.74617,0,0.50145,0.55124
"44",-3.75838,1,0.2149,1.14537
"45",-1.80834,1,-0.31633,0.37434
"46",4.01104,1,-0.39228,-1.2247
"47",1.48435,1,-1.63654,0.48313
"48",-0.69183,0,0.9927,-1.9227
"49",0.07467,0,0.64545,-0.78201
"50",-1.0319,0,0.16271,-0.52856
"51",4.95246,1,-1.10225,0.06711
"52",2.03468,0,2.93359,-0.60485
"53",7.367,1,0.18875,1.78139
"54",-0.93449,1,0.09196,-0.60407
"55",8.09897,1,-1.61007,0.73969
"56",3.52306,1,-0.50646,0.0371
"57",4.29541,1,0.44446,0.13301
"58",1.24583,1,-0.09849,0.37812
"59",0.75556,1,-1.52657,-0.68479
"60",6.47824,1,-0.95818,-0.63703
"61",-2.72518,0,-0.7774,1.56985
"62",1.48024,0,0.17377,0.31461
"63",-0.096,0,0.01814,0.80617
"64",-0.28893,0,1.05126,-3.49591
"65",4.30034,1,0.38884,-1.10657
"66",-0.59343,0,0.03972,0.18006
"67",-1.39923,0,2.00199,0.55159
"68",-5.48893,1,3.48688,-0.24157
"69",-0.07795,0,0.08328,0.5102
"70",-3.43027,1,0.32273,2.29868
"71",-0.41136,0,-0.98457,-0.11978
"72",0.23899,0,-0.58774,2.61049
"73",0.67133,0,0.8905,-1.73734
"74",0.78626,0,-0.81102,0.93695
"75",2.9538,1,0.75836,-0.38503
"76",3.64968,1,1.03111,-0.2372
"77",1.70008,0,0.36829,-0.40163
"78",0.2067,0,0.27603,-1.92279
"79",1.72707,0,0.64109,-1.68625
"80",-1.92872,0,0.37755,-0.15056
"81",1.7507,0,-2.07022,-0.32826
"82",-0.22325,0,-0.56614,-0.1496
"83",-0.12262,0,0.20222,0.01985
"84",-0.67467,0,0.03995,-1.94409
"85",-1.73704,0,-0.15762,0.63723
"86",0.33459,0,1.58481,-1.09797
"87",-0.76295,0,-0.41123,2.66081
"88",-4.94716,1,-0.8175,-1.46061
"89",-0.88083,0,0.23567,-0.51394
"90",0.76098,0,1.15619,0.16959
"91",0.98718,0,-1.77401,1.2698
"92",0.86625,0,-2.07132,0.46646
"93",3.70503,1,0.96071,0.87093
"94",3.58103,1,-0.07957,-0.02395
"95",-0.82529,0,-1.63793,1.1949
"96",5.17132,1,1.66632,0.36354
"97",6.88141,1,-0.43999,0.13167
"98",-0.57912,1,0.78125,0.75315
"99",0.596,1,-0.03853,0.9591
"100",-0.06401,0,-0.84981,-1.27253
"101",1.10767,0,0.48688,0.61543
"102",-1.08417,0,1.5773,2.16346
"103",-2.15844,1,-1.64578,0.84798
"104",-0.63104,0,-1.60366,-0.88723
"105",-2.99634,1,-0.34303,-0.27832
"106",2.84326,0,1.19665,0.44676
"107",-0.77146,1,-0.29928,-1.83613
"108",1.34754,0,0.85945,-0.02343
"109",3.7173,1,1.03594,-0.40623
"110",-0.10033,0,0.18634,0.53805
"111",-1.53233,0,-0.42232,1.98518
"112",-1.24866,0,-0.45843,-0.59255
"113",2.85714,1,-2.05782,-0.27757
"114",0.82729,0,1.03836,-0.32225
"115",-0.26621,1,-0.86368,0.83819
"116",-0.02133,0,0.61716,-0.57462
"117",5.31836,1,-2.12949,-0.04491
"118",0.67144,0,0.81755,-1.62422
"119",7.23359,1,0.59779,-0.70531
"120",3.65459,1,-0.84771,0.61688
"121",4.61145,1,-0.65989,0.35823
"122",0.84171,0,-0.5097,-0.52334
"123",2.66681,0,-0.00836,0.82474
"124",2.43041,1,-1.3394,-1.31387
"125",5.54964,1,0.93268,0.26884
"126",0.348,0,0.07997,1.50477
"127",-0.78764,0,-0.85171,0.58425
"128",2.69771,1,0.47298,0.34644
"129",-1.35133,0,0.59878,-0.33654
"130",-1.22293,0,1.44668,1.4553
"131",1.48592,1,-0.61327,0.82989
"132",2.51094,1,-1.58808,1.1491
"133",2.20313,1,-1.51182,-1.36668
"134",0.71613,1,-0.5558,-0.61878
"135",0.86097,0,-1.01644,-2.56013
"136",1.586,1,0.26981,-0.52669
"137",0.44067,0,1.29467,-1.511
"138",3.21061,1,-1.58538,0.30271
"139",5.28438,1,-0.82549,2.11181
"140",4.67245,1,-0.10709,1.12672
"141",-1.19521,0,0.13181,-0.78495
"142",0.2949,0,1.53077,-0.58654
"143",-3.03266,1,-1.50549,-0.86928
"144",3.42351,1,-0.90883,-1.51723
"145",5.89064,1,0.6338,0.20095
"146",-2.18373,1,-0.14387,-0.35742
"147",-0.25904,1,-1.7288,0.6686
"148",0.54859,0,-0.30507,-0.29205
"149",2.16942,1,0.85001,1.11518
"150",-1.21599,1,1.42064,-1.86588
"151",0.29466,0,-2.91152,-0.86445
"152",-3.26638,1,-1.88742,1.28025
"153",1.19212,0,0.37269,-0.14751
"154",2.06517,1,0.70157,-2.03484
"155",8.39906,1,-0.34203,0.65098
"156",-5.42388,1,-0.73122,0.82885
"157",8.1657,1,1.6917,-1.33131
"158",6.31032,1,-0.86408,-0.18787
"159",2.37532,1,-0.63487,1.46375
"160",0.77485,0,-1.36015,-0.29587
"161",1.33738,0,0.49125,0.40781
